Genuine Balloonicorn | 38 ref
Mann Co. Supply Crate Key | 19 ref
Earbuds | 57 ref
A Distinctive Lack of Hue | 42.18 ref
Non-Craftable A Random Duck Token Gift | 63.3333333333333 ref
restriction AWPer Hand | 240.666666666667 ref
restriction All-Father | 95 ref
restriction Australium Ambassador | 287.666666666667 ref
An Extraordinary Abundance of Tinge | 41 ref
restriction Antarctic Researcher | 57.8866666666667 ref
Genuine Archimedes | 44 ref
restriction Australium Axtinguisher | 151.333333333333 ref
Genuine Balloonicorn | 38 ref
Bill's Hat | 41.6666666666667 ref
restriction Australium Black Box | 344.333333333333 ref
restriction Blood Botkiller Knife Mk.I | 34.3333333333333 ref
restriction Blood Botkiller Medi Gun Mk.I | 36.3333333333333 ref
restriction Blood Botkiller Minigun Mk.I | 29 ref
restriction Blood Botkiller Rocket Launcher Mk.I | 63.3333333333333 ref
restriction Blood Botkiller Scattergun Mk.I | 59 ref
restriction Blood Botkiller Sniper Rifle Mk.I | 57 ref
restriction Blood Botkiller Wrench Mk.I | 33.6666666666667 ref
restriction Australium Blutsauger | 190 ref
restriction Bonk Boy | 76 ref
Genuine Buck Turner All-Stars | 37.6666666666667 ref
restriction Cold Snap Coat | 93.3333333333333 ref
restriction Construction PDA | 150.666666666667 ref
restriction Diamond Botkiller Rocket Launcher Mk.I | 44.3333333333333 ref
restriction Diamond Botkiller Scattergun Mk.I | 38 ref
restriction Diamond Botkiller Wrench Mk.I | 33 ref
restriction Disciplinary Action | 31.6666666666667 ref
Dr. Grordbort's Silver Crest | 32.1466666666667 ref
Earbuds | 57 ref
Genuine El Jefe | 37 ref
restriction Australium Eyelander | 671.333333333333 ref
restriction Festive Ambassador | 74.3333333333333 ref
restriction Festive Bat | 190 ref
restriction Festive Black Box | 43.6666666666667 ref
restriction Festive Buff Banner | 38 ref
restriction Festive Crusader's Crossbow | 43.6666666666667 ref
restriction Festive Eyelander | 41.3333333333333 ref
restriction Festive Flame Thrower | 109.666666666667 ref
restriction Festive Grenade Launcher | 75.6666666666667 ref
restriction Festive Holy Mackerel | 38.6666666666667 ref
restriction Festive Huntsman | 112.333333333333 ref
restriction Festive Knife | 190 ref
restriction Festive Medi Gun | 456 ref
restriction Festive Minigun | 188.666666666667 ref
restriction Festive Rocket Launcher | 348.333333333333 ref
restriction Festive Sandvich | 74.8866666666667 ref
restriction Festive Scattergun | 380 ref
restriction Festive Shotgun | 56.6666666666667 ref
restriction Festive Stickybomb Launcher | 149 ref
restriction Festive Ubersaw | 62.3333333333333 ref
restriction Festive Wrench | 237.333333333333 ref
Fireproof Secret Diary | 285 ref
restriction Australium Flame Thrower | 283.666666666667 ref
restriction Australium Force-A-Nature | 259.666666666667 ref
restriction Australium Frontier Justice | 209 ref
restriction Frying Pan | 132 ref
restriction Gold Botkiller Flame Thrower Mk.I | 29.8866666666667 ref
restriction Gold Botkiller Knife Mk.I | 37.3333333333333 ref
restriction Gold Botkiller Knife Mk.II | 32.3333333333333 ref
restriction Gold Botkiller Medi Gun Mk.II | 38 ref
restriction Gold Botkiller Minigun Mk.I | 41 ref
restriction Gold Botkiller Rocket Launcher Mk.I | 76 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 46.1833333333333 ref
restriction Gold Botkiller Scattergun Mk.I | 69.85 ref
restriction Gold Botkiller Scattergun Mk.II | 44.3333333333333 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 72 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 53.3333333333333 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 41.59 ref
restriction Gold Botkiller Wrench Mk.I | 82.6666666666667 ref
restriction Gold Botkiller Wrench Mk.II | 57 ref
restriction Gone Commando | 35 ref
restriction Australium Grenade Launcher | 326.333333333333 ref
restriction Ground Control | 38 ref
restriction Gunslinger | 342 ref
Halloween Spell: Bruised Purple Footprints | 95 ref
Halloween Spell: Headless Horseshoes | 228 ref
Halloween Spell: Soldier's Booming Bark | 34.6666666666667 ref
Halloween Spell: Spectral Flame | 44.3333333333333 ref
Halloween Spell: Squash Rockets | 35.3333333333333 ref
restriction Holy Mackerel | 42.8866666666667 ref
restriction Huntsman | 71.6666666666667 ref
restriction Invis Watch | 38.6666666666667 ref
restriction Australium Knife | 370.666666666667 ref
restriction Loose Cannon | 53.6666666666667 ref
Vintage Lugermorph | 110.553333333333 ref
restriction Machina | 228 ref
Mann Co. Supply Crate Key | 19 ref
restriction Mann of the Seven Sees | 38 ref
Max's Severed Head | 453 ref
restriction Australium Medi Gun | 475 ref
Genuine Merc's Pride Scarf | 47.3333333333333 ref
restriction Australium Minigun | 399 ref
restriction Original | 85.3333333333333 ref
Genuine Point and Shoot | 32.3333333333333 ref
restriction Pyromancer's Hood | 29.11 ref
restriction Righteous Bison | 56.6666666666667 ref
Non-Craftable restriction Righteous Bison | 98.3333333333333 ref
restriction Australium Rocket Launcher | 912 ref
restriction Australium SMG | 169.666666666667 ref
restriction Sangu Sleeves | 44.3333333333333 ref
restriction Australium Scattergun | 639.666666666667 ref
Genuine Sharp Dresser | 57 ref
Genuine Shred Alert | 32.3333333333333 ref
restriction Sight for Sore Eyes | 57 ref
restriction Snack Attack | 57 ref
restriction Australium Sniper Rifle | 646 ref
restriction Snow Sleeves | 38 ref
restriction Sole Mate | 38 ref
Spine-Chilling Skull | 42.3333333333333 ref
Non-Craftable Spine-Chilling Skull | 38 ref
restriction Australium Stickybomb Launcher | 298 ref
Strange Part: Airborne Enemies Killed | 38 ref
Strange Part: Allied Healing Done | 38 ref
Strange Part: Critical Kills | 63.3333333333333 ref
Strange Part: Damage Dealt | 111 ref
Strange Part: Domination Kills | 61.6666666666667 ref
Strange Part: Kills with a Taunt Attack | 38 ref
Strange Part: Projectiles Reflected | 55.3333333333333 ref
Summer Adventure Pack | 34 ref
Taunt: Pool Party | 57 ref
Taunt: The Boston Breakdance | 35.8866666666667 ref
Taunt: The Killer Solo | 34.8333333333333 ref
restriction Texas Ten Gallon | 38 ref
restriction Thermal Tracker | 37.5533333333333 ref
restriction Australium Tomislav | 164 ref
Towering Pillar Of Summer Shades | 304 ref
restriction Trencher's Tunic | 38 ref
restriction Ullapool Caber | 72 ref
Upgrade to Premium Gift | 41.8866666666667 ref
Non-Craftable Voodoo Juju | 57 ref
What's in the Portal 2 Soundtrack Box? | 50.6666666666667 ref
restriction Australium Wrench | 440.333333333333 ref
A Distinctive Lack of Hue | 42.18 ref
Non-Craftable A Random Duck Token Gift | 63.3333333333333 ref
restriction AWPer Hand | 238 ref
restriction All-Father | 95 ref
restriction Australium Ambassador | 287.666666666667 ref
An Extraordinary Abundance of Tinge | 41 ref
restriction Antarctic Researcher | 57.8866666666667 ref
Genuine Archimedes | 44 ref
restriction Australium Axtinguisher | 151.333333333333 ref
Genuine Balloonicorn | 38 ref
Bill's Hat | 41.6666666666667 ref
restriction Australium Black Box | 344.333333333333 ref
restriction Blood Botkiller Knife Mk.I | 34.3333333333333 ref
restriction Blood Botkiller Medi Gun Mk.I | 36.3333333333333 ref
restriction Blood Botkiller Minigun Mk.I | 29 ref
restriction Blood Botkiller Rocket Launcher Mk.I | 63.3333333333333 ref
restriction Blood Botkiller Scattergun Mk.I | 59 ref
restriction Blood Botkiller Sniper Rifle Mk.I | 57 ref
restriction Blood Botkiller Wrench Mk.I | 33.6666666666667 ref
restriction Australium Blutsauger | 190 ref
restriction Bonk Boy | 76 ref
Genuine Buck Turner All-Stars | 37.6666666666667 ref
restriction Cold Snap Coat | 93.3333333333333 ref
restriction Construction PDA | 150.666666666667 ref
restriction Diamond Botkiller Rocket Launcher Mk.I | 44.3333333333333 ref
restriction Diamond Botkiller Scattergun Mk.I | 38 ref
restriction Diamond Botkiller Wrench Mk.I | 33 ref
restriction Disciplinary Action | 31.6666666666667 ref
Dr. Grordbort's Silver Crest | 32.1466666666667 ref
Earbuds | 57 ref
Genuine El Jefe | 37 ref
restriction Australium Eyelander | 671.333333333333 ref
restriction Festive Ambassador | 74.3333333333333 ref
restriction Festive Bat | 190 ref
restriction Festive Black Box | 43.6666666666667 ref
restriction Festive Buff Banner | 38 ref
restriction Festive Eyelander | 41.3333333333333 ref
restriction Festive Flame Thrower | 109.666666666667 ref
restriction Festive Grenade Launcher | 75.6666666666667 ref
restriction Festive Holy Mackerel | 38.6666666666667 ref
restriction Festive Huntsman | 112.333333333333 ref
restriction Festive Knife | 190 ref
restriction Festive Medi Gun | 456 ref
restriction Festive Minigun | 188.666666666667 ref
restriction Festive Rocket Launcher | 348.333333333333 ref
restriction Festive Sandvich | 74.8866666666667 ref
restriction Festive Scattergun | 380 ref
restriction Festive Shotgun | 56.6666666666667 ref
restriction Festive Stickybomb Launcher | 149 ref
restriction Festive Ubersaw | 62.3333333333333 ref
restriction Festive Wrench | 237.333333333333 ref
Fireproof Secret Diary | 285 ref
restriction Australium Flame Thrower | 283.666666666667 ref
restriction Australium Force-A-Nature | 259.666666666667 ref
restriction Australium Frontier Justice | 209 ref
restriction Frying Pan | 132 ref
restriction Gold Botkiller Flame Thrower Mk.I | 29.8866666666667 ref
restriction Gold Botkiller Knife Mk.I | 37.3333333333333 ref
restriction Gold Botkiller Knife Mk.II | 32.3333333333333 ref
restriction Gold Botkiller Medi Gun Mk.II | 38 ref
restriction Gold Botkiller Minigun Mk.I | 41 ref
restriction Gold Botkiller Rocket Launcher Mk.I | 76 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 46.1833333333333 ref
restriction Gold Botkiller Scattergun Mk.I | 69.85 ref
restriction Gold Botkiller Scattergun Mk.II | 44.3333333333333 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 72 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 53.3333333333333 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 41.59 ref
restriction Gold Botkiller Wrench Mk.I | 82.6666666666667 ref
restriction Gold Botkiller Wrench Mk.II | 57 ref
restriction Gone Commando | 35 ref
restriction Australium Grenade Launcher | 326.333333333333 ref
restriction Ground Control | 38 ref
restriction Gunslinger | 342 ref
Halloween Spell: Bruised Purple Footprints | 95 ref
Halloween Spell: Headless Horseshoes | 228 ref
Halloween Spell: Soldier's Booming Bark | 34.6666666666667 ref
Halloween Spell: Spectral Flame | 44.3333333333333 ref
Halloween Spell: Squash Rockets | 35.3333333333333 ref
restriction Holy Mackerel | 42.8866666666667 ref
restriction Huntsman | 71.6666666666667 ref
restriction Invis Watch | 38.6666666666667 ref
restriction Australium Knife | 370.666666666667 ref
restriction Loose Cannon | 53.6666666666667 ref
Vintage Lugermorph | 110.553333333333 ref
restriction Machina | 228 ref
Mann Co. Supply Crate Key | 19 ref
restriction Mann of the Seven Sees | 38 ref
Max's Severed Head | 453 ref
restriction Australium Medi Gun | 475 ref
Genuine Merc's Pride Scarf | 47.3333333333333 ref
restriction Australium Minigun | 399 ref
restriction Original | 85.3333333333333 ref
Genuine Point and Shoot | 32.3333333333333 ref
restriction Pyromancer's Hood | 29.11 ref
restriction Righteous Bison | 56.6666666666667 ref
Non-Craftable restriction Righteous Bison | 98.3333333333333 ref
restriction Australium Rocket Launcher | 912 ref
restriction Australium SMG | 169.666666666667 ref
restriction Sangu Sleeves | 44.3333333333333 ref
restriction Australium Scattergun | 639.666666666667 ref
Genuine Sharp Dresser | 57 ref
Genuine Shred Alert | 32.3333333333333 ref
restriction Sight for Sore Eyes | 57 ref
restriction Snack Attack | 57 ref
restriction Australium Sniper Rifle | 646 ref
restriction Snow Sleeves | 38 ref
restriction Sole Mate | 38 ref
Spine-Chilling Skull | 42.3333333333333 ref
Non-Craftable Spine-Chilling Skull | 38 ref
Strange Part: Airborne Enemies Killed | 38 ref
Strange Part: Allied Healing Done | 38 ref
Strange Part: Critical Kills | 63.3333333333333 ref
Strange Part: Damage Dealt | 111 ref
Strange Part: Domination Kills | 61.6666666666667 ref
Strange Part: Kills with a Taunt Attack | 38 ref
Strange Part: Projectiles Reflected | 55.3333333333333 ref
Summer Adventure Pack | 34 ref
Taunt: Pool Party | 57 ref
Taunt: The Boston Breakdance | 35.8866666666667 ref
Taunt: The Killer Solo | 34.8333333333333 ref
restriction Texas Ten Gallon | 38 ref
restriction Thermal Tracker | 37.5533333333333 ref
restriction Australium Tomislav | 164 ref
Towering Pillar Of Summer Shades | 304 ref
restriction Trencher's Tunic | 38 ref
restriction Ullapool Caber | 72 ref
Upgrade to Premium Gift | 41.8866666666667 ref
Non-Craftable Voodoo Juju | 57 ref
What's in the Portal 2 Soundtrack Box? | 50.6666666666667 ref
restriction Australium Wrench | 440.333333333333 ref
A Distinctive Lack of Hue | 42.18 ref
Non-Craftable A Random Duck Token Gift | 63.3333333333333 ref
restriction AWPer Hand | 238 ref
restriction All-Father | 95 ref
restriction Australium Ambassador | 287.666666666667 ref
An Extraordinary Abundance of Tinge | 41 ref
restriction Antarctic Researcher | 57.8866666666667 ref
Genuine Archimedes | 44 ref
restriction Australium Axtinguisher | 151.333333333333 ref
Genuine Balloonicorn | 38 ref
Bill's Hat | 41.6666666666667 ref
restriction Australium Black Box | 344.333333333333 ref
restriction Blood Botkiller Knife Mk.I | 34.3333333333333 ref
restriction Blood Botkiller Medi Gun Mk.I | 36.3333333333333 ref
